"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj055","bow","bow",1,0,4,0.1,927,1,3,2.639
"obj056","box","box",1,0,1,0,753,1,3,4.635
"obj057","boy","boy",1,0,5,0.08,956,1,3,5.858
"obj058","branch","branch",1,0,5,0.14,1092,1,6,4.554
"obj059","bra","bra",1,0,1,0,917,1,3,1.946
"obj060","bread","bread",1,0,2,0,773,1,5,4.317
"obj061","bride","bride",1,0,4,0.14,1168,1,5,2.565
"obj062","bridge","bridge",1,0,2,0.02,862,1,6,4.205
"obj063","broom","broom",1,0,1,0,821,1,5,2.197
"obj064","brush","brush",1,0,3,0,955,1,5,2.89
"obj065","bus","bus",1,0,1,0,771,1,3,4.382
"obj066","butter","butter",1,0,3,0.04,1036,2,6,3.332
"obj067","butterfly","butterfly",1,0,1,0,720,3,9,2.398
"obj068","button","button",1,0,1,0,917,2,6,3.296
"obj069","cactus","cactus",0.96,0.02,1,0,933,2,6,1.386
"obj070","cage","cage",0.98,0,4,0.08,963,1,4,2.833
"obj071","cake","cake",1,0,1,0,789,1,4,3.555
"obj072","camel","camel",0.96,0.02,1,0,892,2,5,3.258
"obj073","camera","camera",1,0,1,0,725,3,6,3.611
"obj074","can","can",0.98,0,3,0.04,940,1,3,2.303
"obj075","candle","candle",1,0,1,0,831,2,6,2.833
"obj076","cane","cane",0.96,0,3,0.02,922,1,4,2.398
"obj077","cannon","cannon",0.92,0.06,1,0,1159,2,6,1.946
"obj078","canoe","canoe",0.94,0.02,2,0.38,1164,2,5,1.946
